bill_id,meter_id,bill_amount,bill_date,due_date,payment_status
1,13,85,2024-11-01,2024-11-15,Paid
2,2,210,2024-11-01,2024-11-15,Pending
3,40,95,2024-11-01,2024-11-15,Paid
4,4,520,2024-11-01,2024-11-15,Paid
5,5,480,2024-11-01,2024-11-15,Pending
6,6,390,2024-11-01,2024-11-15,Paid
7,7,110,2024-11-01,2024-11-15,Pending
8,8,130,2024-11-01,2024-11-15,Paid
9,9,670,2024-11-01,2024-11-15,Paid
10,15,580,2024-11-01,2024-11-15,Pending
11,11,430,2024-11-01,2024-11-15,Paid
12,12,75,2024-11-01,2024-11-15,Pending
13,1,90,2024-11-01,2024-11-15,Paid
14,14,510,2024-11-01,2024-11-15,Paid
15,10,120,2024-11-01,2024-11-15,Pending
16,16,460,2024-11-01,2024-11-15,Paid
17,17,540,2024-11-01,2024-11-15,Pending
18,18,495,2024-11-01,2024-11-15,Paid
19,19,105,2024-11-01,2024-11-15,Paid
20,50,80,2024-11-01,2024-11-15,Pending
21,21,620,2024-11-01,2024-11-15,Paid
22,22,115,2024-11-01,2024-11-15,Paid
23,23,100,2024-11-01,2024-11-15,Pending
24,24,88,2024-11-01,2024-11-15,Paid
25,30,570,2024-11-01,2024-11-15,Paid
26,41,135,2024-11-01,2024-11-15,Pending
27,27,445,2024-11-01,2024-11-15,Paid
28,28,92,2024-11-01,2024-11-15,Pending
29,29,680,2024-11-01,2024-11-15,Paid
30,25,410,2024-11-01,2024-11-15,Paid
31,31,78,2024-11-01,2024-11-15,Pending
32,32,530,2024-11-01,2024-11-15,Paid
33,33,490,2024-11-01,2024-11-15,Paid
34,34,560,2024-11-01,2024-11-15,Pending
35,35,125,2024-11-01,2024-11-15,Paid
36,36,98,2024-11-01,2024-11-15,Paid
37,37,475,2024-11-01,2024-11-15,Pending
38,38,108,2024-11-01,2024-11-15,Paid
39,39,640,2024-11-01,2024-11-15,Paid
40,3,145,2024-11-01,2024-11-15,Pending
41,26,140,2024-11-01,2024-11-15,Paid
42,42,82,2024-11-01,2024-11-15,Paid
43,43,118,2024-11-01,2024-11-15,Pending
44,44,96,2024-11-01,2024-11-15,Paid
45,45,590,2024-11-01,2024-11-15,Paid
46,46,112,2024-11-01,2024-11-15,Pending
47,47,102,2024-11-01,2024-11-15,Paid
48,48,88,2024-11-01,2024-11-15,Paid
49,49,610,2024-11-01,2024-11-15,Pending
50,20,155,2024-11-01,2024-11-15,Paid
