 
payment_id,bill_id,amount_paid,payment_date,payment_method
1,1,85,2024-11-08,Mobile Money
2,3,95,2024-11-06,Cash
3,4,520,2024-11-10,Bank Transfer
4,6,390,2024-11-09,Mobile Money
5,8,130,2024-11-07,Cash
6,9,670,2024-11-11,Bank Transfer
7,11,430,2024-11-08,Mobile Money
8,13,90,2024-11-05,Cash
9,14,510,2024-11-12,Bank Transfer
10,16,460,2024-11-09,Mobile Money
11,18,495,2024-11-10,Bank Transfer
12,19,105,2024-11-06,Mobile Money
13,21,620,2024-11-11,Bank Transfer
14,22,115,2024-11-07,Cash
15,24,88,2024-11-08,Mobile Money
16,25,570,2024-11-10,Bank Transfer
17,27,445,2024-11-09,Mobile Money
18,29,680,2024-11-12,Bank Transfer
19,30,410,2024-11-08,Mobile Money
20,32,530,2024-11-11,Bank Transfer
21,33,490,2024-11-09,Mobile Money
22,35,125,2024-11-06,Cash
23,36,98,2024-11-07,Mobile Money
24,38,108,2024-11-08,Cash
25,39,640,2024-11-12,Bank Transfer
26,41,140,2024-11-09,Mobile Money
27,42,82,2024-11-06,Cash
28,44,96,2024-11-07,Mobile Money
29,45,590,2024-11-11,Bank Transfer
30,47,102,2024-11-08,Cash
31,48,88,2024-11-10,Mobile Money
32,50,155,2024-11-09,Cash
